,productID,UPC,productName,category,brandName
0,455506,41303060827,OIL FASHIONED PIE,Other Frozen Desserts,"Supervalu, Inc."
1,570883,716519045011,GREEN BEANS,Pre-Packaged Fruit & Vegetables,MANN'S
2,796805,46675013501,VANILLA COOKIE PIECES LOWFAT YOGURT,Yogurt,The Yofarm Company
3,1019175,36800374454,SHREDDED HASH BROWNS,"French Fries, Potatoes & Onion Rings","Topco Associates, Inc."
4,598160,73723301211,ORGANIC STRAWBERRY FRUIT SPREAD,"Jam, Jelly & Fruit Spreads",DANISH ORCHARDS
5,745474,70038622864,"CHUNK LIGHT TUNA IN WATER, CHUNK LIGHT",Canned Tuna,BEST CHOICE
6,465178,888670025383,ORGANIC PLAIN GREEK YOGURT,Yogurt,BJ's Wholesale Club / Corporate Brands
7,817280,855868002006,"VEGGIE BROTH, VEGGIE",Canned Soup,Zoup! License Support Group LLC
8,669662,3003410658,"REAL BACON PIECES, HICKORY SMOKE",Salad Dressing & Mayonnaise,"Giant Eagle, Inc."
9,712522,810674030315,DARK CHOCOLATE WITH ORANGE PEEL BAR,Chocolate,SWEET SMILES
10,488277,16300165752,"100% PREMIUM FLORIDA ORANGE JUICE, SOME PULP","Fruit & Vegetable Juice, Nectars & Fruit Drinks",Citrus World Inc.
11,606372,31000120252,"BANQUET Chicken Patties, 14.4 OZ",Meat/Poultry/Other Animals  Prepared/Processed,Conagra Brands
12,1087377,25317616003,"ORGANIC CHICKEN & MAPLE BREAKFAST SAUSAGE, CHICKEN & MAPLE","Frozen Sausages, Hotdogs & Brats",Hormel Foods Corporation 
13,1007359,13000000574,"HORSERADISH SAUCE, HORSERADISH","Oriental, Mexican & Ethnic Sauces",Kraft Heinz Foods Company
14,459413,36800415485,"ENGLISH MUFFIN HAM, EGG & CHEESE BREAKFAST SANDWICHES","Frozen Breakfast Sandwiches, Biscuits & Meals","Topco Associates, Inc."
15,954353,37600119474,"MILD BLACK BEAN & CORN SALSA, MILD BLACK BEAN & CORN",Dips & Salsa,Hormel Foods Corporation 
