productID,UPC,productName,quantityNeeded,quantityOnHand,minimumQuantity,brandName,category,storageLocation,store,addressLine1,addressLine2,city,stateAbbrev,zipCode
727914,2025988,RECIPE CLASSICS CHOPPED SPINACH,2,0,1,BEST CHOICE,Frozen Vegetables,Chest Freezer,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
548394,3032802,SWEETENED CORN & OAT CEREAL,3,3,1,CAP'N CRUNCH,Cereal,Pantry,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
957539,4031918,RED CURRY POWDER,3,2,2,"ACH Food Companies, Inc.",Herbs & Spices,Pantry,Whole Foods Market,9940 NE Cornell Rd,null,Hillsboro,OR,97124
563600,4783830,MAPLE HAM SPREAD,2,2,1,UNDERWOOD,"Pepperoni, Salami & Cold Cuts",Refrigerator,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
991513,4909806,DIET COLA,3,1,2,Coca-Cola USA Operations,Soda,Pantry,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
732072,11170761,MILD TIKKA MASALA MARINADE SPICE PASTE,3,2,2,PATAK'S,"Seasoning Mixes, Salts, Marinades & Tenderizers",Pantry,Walmart,220 N Adair St,null,Cornelius,OR,97113
803635,16701458,BUTTER COOKIES,3,2,2,BAUDUCCO,Cookies & Biscuits,Pantry,Whole Foods Market,9940 NE Cornell Rd,null,Hillsboro,OR,97124
901484,20736132,GLUTEN FREE RICE PASTA & WHITE CHEDDAR CHEESE,2,2,1,NOT A BRANDED ITEM,Pasta Dinners,Pantry,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
901430,20739485,"BLACK CHERRY LOWFAT YOGURT, BLACK CHERRY",1,2,1,NOT A BRANDED ITEM,Yogurt,Refrigerator,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
1024549,20740085,"BARBECUE FLAVORED POTATO CHIPS, BARBECUE",2,1,1,NOT A BRANDED ITEM,"Chips, Pretzels & Snacks",Pantry,Whole Foods Market,9940 NE Cornell Rd,null,Hillsboro,OR,97124
945196,20743864,ORGANIC INDIAN BASMATI WHITE RICE,2,1,1,Learning Horizons,Rice,Pantry,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
1023443,20744977,"CLUSTERS OF OATS & HONEY CEREAL, CRUNCHY HONEY ROASTED",3,2,2,NOT A BRANDED ITEM,Cereal,Pantry,Whole Foods Market,9940 NE Cornell Rd,null,Hillsboro,OR,97124
328841,333831015,"Cheese, cottage, lowfat, 2% milkfat",3,2,2,generic,Dairy,Refrigerator,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
173418,333831017,"Cheese, cream",1,1,1,generic,Dairy,Refrigerator,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
325036,333831032,"Cheese, parmesan, grated",2,0,1,generic,Dairy,Refrigerator,Fred Meyer,2200 E Baseline St,null,Cornelius,OR,97113
